ID,Showing,"Project serial no.
(EU or national)",English project title,National project title,Theme innovation Area,Portfolio,Innovation levers,OPSI,Zone,Layer,Free tags/comments,Number of national partners,"Number of inter-
national partners",Coordinating partner ID,Optional partner ID list (semicolon separated),Prep Start Date,Prep End Date,Prep co-financing by your organisation,Prep resources contributed partners,Optional Prep description,Recieved OR Potential,Start Date,End Date,Funding (national or €),Currency code,Co-financing by your organisation,"Other co-financing amount
(currency as col. Q, left)",Optional Co financing partner ID/IDs (Semicolon separated),National Project Abstract,English Project Abstract,Funding Organisation Id,National main funding organisation name,English main funding organisation name
27,1,004,,ELABORATOR,,Transport & Mobility ,Governance and Policy,Adaptive,,,,,,INSTITUTE OF COMMUNICATION AND COMPUTER SYSTEMS,INSTITUTE OF COMMUNICATION AND COMPUTER SYSTEMS; PROMOTIONOF OPERATIONALLINKS WITH INTEGRATED SERVICES; EUROPEAN INSTITUTE OF ROAD ASSESSMENT – EuroRAP; INTERNATIONAL ROAD ASSESSMENT PROGRAMME; UNIVERSITY OF BRISTOL; MULTICRITERI-MCRIT-AIE; INSTITUT D’ARQUITECTURA AVANÇADA DE CATALUNYA; COMMUNE DI MILANO; STEFANO BOERI ARCHITETTI s.r.l.; THINGS s.r.l.; AGENZIA MOBILITA AMBIENTE E TERRITORIO s.r.l; KOBENHAVNS KOMMUNE; KOBENHAVNS UNIVERSITET; ANALYSE & TAL f.m.b.a; FORUM VIRIUM HELSINKI; TechnologyAN TUTKIMUSKESKUS VTT Oy; SOCIETE D’ECONOMIE MIXTE – ISSY MEDIA; COLAS SA; IFP ENERGIES NOUVELLES; URBAN RADAR SAS AYUNTAMIENTO DE ZARAGOZA; FUNDACION CIRCE; JOC RENTAL S.L; ANAPTYXIAKI ETAIREIA DIMOU TRIKKAION E-TRIKALA; URBANA CIVIL NON-PROFIT PARTNERSHIP; CITY OF LUND; LINKOPINGS UNIVERSITET; SENSATIVE AB; STATUTORY CITY OF LIBEREC; CESKE VYSOKE UCENI TECHNICKE V PRAZE; MESTNA OBCINA VELENJE; AV LIVING LAB d.o.o.; INTERNET INSTITUTE; COMM. SOLUTIONS AND CONSULTING LTD; GRAD SPLIT; UNIVERSITY OF ZAGREB; CITY ADMINISTRATION OF THE CITY OF KRUSEVAC; MUNICIPALITY OF IOANNINA; PLATOMO GmbH,,,,,,,44958,46446,136689167,SEK,,,,,,,,
28,1,005,,Power Bio,,Circular economy & sustainable consumption,Finance and Funding,Adaptive,,,,,,Gate21,Business Lolland-Falster; Coastgrass APS; Danmarks tekniske universitet; Greve Kommune; Hørsholm Kommune; Is Strandparken; KIMO Danmark; Køge kommune; Lejre Kommune; Lunds kommun; Lunds universitet; Malmö kommun; Nordvästra Skånes Renhållnings Aktiebolag; Odsherred Kommune; Ringsted Biogas APS; Roskilde Universitet; Rudersdal Kommune; SolServ solutions & Services Europé AB; Sustainable Business Hub Scandinavia AB; Søuld; Technologysk Institut; AgroTech; Tomelilla kommun; Vallensbæk Kommune,,,,,,,44942,46038,48375436,SEK,,,,,,,,
29,1,009,,Rest till Bäst - Biokol som lösning och produkt i det cirkulära och klimatpositiva samhället,,Carbon capture,Technology/Infrastructure,Adaptive,,,,,,Lunds kommun,Bara mineraler AB; Belyazid Consulting & Communication AB; Carbonfuture GmbH; ECOERA AB; Ecotopic AB; Edge of Civil Design AB; Ekobalans Fenix AB; Linnéuniversitetet; Malmö stad; MKB; Orkla; Pyreg GmbH; RISE; Scandinavian Green roof institute; Skånefrö AB; Stockholms stad; Stockholms hem; Sustainable business Hub; Telge Energi; Trelleborgs kommun; Sweco; Uppsala kommun; Uppsala vatten och avlopp AB; VA Syd; Vegtech AB; Västerviks kommun; lunds kommun,,,,,,,44378,45107,40351618,SEK,,,,,,,,
30,1,010,,Future - FRAMTIDENS INTELLIGENTA ENERGI- OCH RESURSSYSTEM,,Energy efficiency,Technology/Infrastructure,Adaptive,,,,,,Gate21,Region Hovedstaden; Region Skåne; Region Sjælland; Sustainable Business Hub Scandinavia AB; Danmarks Tekniske Universitet; SEAS-NVE A.m.b.a; REFA Energi A/S; Geodrilling A/S; Kalundborg Kommune; Balslev Radgivende lngeniører A/S; Schneider Electric Danmark A/S; Lendager Strategy; RambøII Danmark A/S; AffaldPlus I/S; Aalborg Universitet; Lunds kommun; Bofa – Bornholms avfallsbehandling; E.ON Sverige AB; Skånes Universitetssjukhus.,,,,,,,43101,44561,31350000,SEK,,,,,,,,
31,1,011,,"Rest till Bäst - Biokol som lösning och produkt i det cirkulära och livskraftiga samhället, fas 2",,Carbon capture,Technology/Infrastructure,Adaptive,,,,,,Lunds Kommun,e-on; ECOERA; EkoBalans Fenix AB; Malmö kommun; Trelleborgs kommun; Sveriges lantbruksuniversitet; Sustainable business hub; Skånefrö; Scandinavian Green roof AB; Ekobalans Fenix,,,,,,,43221,44074,20061613,SEK,,,,,,,,
32,1,012,,Cleancon,,Transport & Mobility ,Technology/Infrastructure,Adaptive,,,,,,RISE,Lunds kommun; Volvo; VA Syd; Göteborgs stad leasing; Eslövs kommun; Kunskaspsbyen Lilleström; PowUnit; Leverandørutviklingsprogrammet; Direktoratet for forvaltning og økonomistyring (DFØ); Viken fylkeskommune; Lillestrøm kommune; Københavns Kommune; Tekniska Högskolan i Jönköping,,,,,,,43647,44773,31475769,SEK,,,,,,,,
33,1,013,,"Biokol 1 - förstudie, fas 1",,Carbon capture,Technology/Infrastructure,Adaptive,,,,,,Lunds kommun,Lunds kommun,,,,,,,42856,44944,725875,SEK,,,,,,,,
34,1,015,,Cleancon II,,Transport & Mobility ,Technology/Infrastructure,Adaptive,,,,,,RISE,Eslövs kommun; Malmö stad; Lunds kommun SF; Nilsson Energy; Peab anläggning; Tekniska högskolan i Jönköping; Volvo Construction Equipment AB; DFØ - Direktoratet for forvaltning og økonomistyring; Eviny AS; Kunnskapsbyen Lillestrøm; Lillestrøm kommune; NAPOP AS; NASTA AS; NILU - Stiftelsen Norsk institutt for luftforskning; RISE,,,,,,,44927,46022,3925000,SEK,,,,,,,,
35,1,017,,COOL DH,,Energy efficiency,Technology/Infrastructure,Anticipatory,,,,,,COWI A/S,Kraftringen Energi AB; Høje-Taastrup Kommune; Lunds kommun; Lunds universitet; Euroheat & Power (SME); Logstor A/S; Høje Taastrup Fjernvarme amba; Alfa Laval; Lunds kommuns fastighet AB,,,,,,,42736,44926,51841107,SEK,,,,,,,,
36,1,016,,Projekt BASE – Brunnshög Automated Sustainable Electromobility,,Transport & Mobility ,Technology/Infrastructure,Anticipatory,,,,,,Lunds kommun,LKF; Lunds universitet; Lunds kommun,,,,,,,44788,45291,823000,SEK,,,,,,,,
