ProjectId,ProjectTitleSv,ProjectTitleEn,FundingsSek,ProjectStartDate,ProjectEndDate,CoordinatingOrganisationNameEn,FundingOrganisationNameEn,label,long_label,short_label,CoordinatingOrganisationCountry,TotalFundingsSek,Role,ProjectStartYear,ProjectEndYear
101008237_EU-H2020_Part_011,,Polymer engineering via molecular design: embedding electrical and optical properties into VITrimers,1196000,2021-09-01,2026-02-28,Chalmers University of Technology,European Commission - Horizon 2020,"Polymer engineering via molecular design: embedding electrical and optical properties into VITrimers
101008237_EU-H2020_Part_011","Polymer engineering via molecular design: embedding electrical and optical properties into VITrimers
101008237_EU-H2020_Part_011
Funding:      1 196 000.00  SEK
2021-09-01  -  2026-02-28
Total cash funding:    13 524 000 SEK
In-kind:    13 524 000 SEK","Polymer engineering via molecular design: embedding electrical and optical properties into VITrimers
101008237_EU-H2020_Part_011
[      1 196 000.00  SEK]",SE,13524000,participant,2021,2026
101016665_EU-H2020_Part_065,,One-Stop-Shop Open Access to  Photonics Innovation Support for a Digital Europe,856250,2021-01-01,2026-04-30,EKONOMISKA FORENINGEN PHOTONICSWEDEN,European Commission - Horizon 2020,"One-Stop-Shop Open Access to  Photonics Innovation Support for a Digital Europe
101016665_EU-H2020_Part_065","One-Stop-Shop Open Access to  Photonics Innovation Support for a Digital Europe
101016665_EU-H2020_Part_065
Funding:        856 250.00  SEK
2021-01-01  -  2026-04-30
Total cash funding:   189 999 313 SEK
In-kind:   189 999 313 SEK","One-Stop-Shop Open Access to  Photonics Innovation Support for a Digital Europe
101016665_EU-H2020_Part_065
[        856 250.00  SEK]",SE,197287877.6,participant,2021,2026
101004509_EU-H2020_Part_013,,Collaboration of Humanities And Social Sciences in Europe,7056541.8,2021-01-01,2026-06-30,FORSKINGSRADET FOR HALSA ARBETSLIVOCH VALFARD,European Commission - Horizon 2020,"Collaboration of Humanities And Social Sciences in Europe
101004509_EU-H2020_Part_013","Collaboration of Humanities And Social Sciences in Europe
101004509_EU-H2020_Part_013
Funding:      7 056 541.80  SEK
2021-01-01  -  2026-06-30
Total cash funding:   100 000 000 SEK
In-kind:   100 000 000 SEK","Collaboration of Humanities And Social Sciences in Europe
101004509_EU-H2020_Part_013
[      7 056 541.80  SEK]",SE,303030420,participant,2021,2026
101037796_EU-H2020_Part_019,,Systemic Innovations for a SusTainable reduction of the EuRopean food waStage,4252500,2021-11-01,2026-04-30,GAIA BIOMATERIALS AB,European Commission - Horizon 2020,"Systemic Innovations for a SusTainable reduction of the EuRopean food waStage
101037796_EU-H2020_Part_019","Systemic Innovations for a SusTainable reduction of the EuRopean food waStage
101037796_EU-H2020_Part_019
Funding:      4 252 500.00  SEK
2021-11-01  -  2026-04-30
Total cash funding:    83 397 046 SEK
In-kind:    83 397 046 SEK","Systemic Innovations for a SusTainable reduction of the EuRopean food waStage
101037796_EU-H2020_Part_019
[      4 252 500.00  SEK]",SE,101011178,participant,2021,2026
101036756_EU-H2020_Part_006,,"ZeroPM: Zero pollution of Persistent, Mobile substances",8628767.5,2021-10-01,2026-09-30,INTERNATIONELLA KEMIKALISEKRETARIATET,European Commission - Horizon 2020,"ZeroPM: Zero pollution of Persistent, Mobile substances
101036756_EU-H2020_Part_006","ZeroPM: Zero pollution of Persistent, Mobile substances
101036756_EU-H2020_Part_006
Funding:      8 628 767.50  SEK
2021-10-01  -  2026-09-30
Total cash funding:   116 166 055 SEK
In-kind:   116 166 055 SEK","ZeroPM: Zero pollution of Persistent, Mobile substances
101036756_EU-H2020_Part_006
[      8 628 767.50  SEK]",SE,116166055,participant,2021,2026
101001374_EU-H2020_Coor_001,,Release of engineered extracellular vesicles for delivery of biotherapeutics,20000000,2021-03-01,2026-02-28,Karolinska institutet,European Commission - Horizon 2020,"Release of engineered extracellular vesicles for delivery of biotherapeutics
101001374_EU-H2020_Coor_001","Release of engineered extracellular vesicles for delivery of biotherapeutics
101001374_EU-H2020_Coor_001
Funding:     20 000 000.00  SEK
2021-03-01  -  2026-02-28
Total cash funding:    20 000 000 SEK
In-kind:    20 000 000 SEK","Release of engineered extracellular vesicles for delivery of biotherapeutics
101001374_EU-H2020_Coor_001
[     20 000 000.00  SEK]",SE,2e+07,coordinating,2021,2026
965193_EU-H2020_Part_010,,Improved clinical decisions via integrating multiple data levels to overcome chemotherapy resistance in high-grade serous ovarian cancer,14999987.5,2021-02-01,2026-07-31,Karolinska institutet,European Commission - Horizon 2020,"Improved clinical decisions via integrating multiple data levels to overcome chemotherapy resistance in high-grade serous ovarian cancer
965193_EU-H2020_Part_010","Improved clinical decisions via integrating multiple data levels to overcome chemotherapy resistance in high-grade serous ovarian cancer
965193_EU-H2020_Part_010
Funding:     14 999 987.50  SEK
2021-02-01  -  2026-07-31
Total cash funding:   149 993 350 SEK
In-kind:   149 993 350 SEK","Improved clinical decisions via integrating multiple data levels to overcome chemotherapy resistance in high-grade serous ovarian cancer
965193_EU-H2020_Part_010
[     14 999 987.50  SEK]",SE,149993350,participant,2021,2026
947886_EU-H2020_Coor_001,,Olfaction as the link between flavor preference formation and retrieval  during food consumption,14996000,2021-05-01,2026-04-30,Karolinska institutet,European Commission - Horizon 2020,"Olfaction as the link between flavor preference formation and retrieval  during food consumption
947886_EU-H2020_Coor_001","Olfaction as the link between flavor preference formation and retrieval  during food consumption
947886_EU-H2020_Coor_001
Funding:     14 996 000.00  SEK
2021-05-01  -  2026-04-30
Total cash funding:    14 996 000 SEK
In-kind:    14 996 000 SEK","Olfaction as the link between flavor preference formation and retrieval  during food consumption
947886_EU-H2020_Coor_001
[     14 996 000.00  SEK]",SE,14996000,coordinating,2021,2026
948692_EU-H2020_Coor_001,,Dissecting tissue-resident lymphocyte homeostasis in humans,14989720,2021-02-01,2026-01-31,Karolinska institutet,European Commission - Horizon 2020,"Dissecting tissue-resident lymphocyte homeostasis in humans
948692_EU-H2020_Coor_001","Dissecting tissue-resident lymphocyte homeostasis in humans
948692_EU-H2020_Coor_001
Funding:     14 989 720.00  SEK
2021-02-01  -  2026-01-31
Total cash funding:    14 989 720 SEK
In-kind:    14 989 720 SEK","Dissecting tissue-resident lymphocyte homeostasis in humans
948692_EU-H2020_Coor_001
[     14 989 720.00  SEK]",SE,14989720,coordinating,2021,2026
949131_EU-H2020_Coor_001,,The Hot-Coal hypothesis of working memory,14989570,2021-06-01,2026-05-31,Karolinska institutet,European Commission - Horizon 2020,"The Hot-Coal hypothesis of working memory
949131_EU-H2020_Coor_001","The Hot-Coal hypothesis of working memory
949131_EU-H2020_Coor_001
Funding:     14 989 570.00  SEK
2021-06-01  -  2026-05-31
Total cash funding:    14 989 570 SEK
In-kind:    14 989 570 SEK","The Hot-Coal hypothesis of working memory
949131_EU-H2020_Coor_001
[     14 989 570.00  SEK]",SE,14989570,coordinating,2021,2026
964553_EU-H2020_Part_006,,Redefining mass spectrometry – a breakthrough platform for real-time noninvasive breath analysis with single ion detection of intact viruses and bacteria and post-analysis molecular characterization,6170000,2021-06-01,2026-05-31,Karolinska institutet,European Commission - Horizon 2020,"Redefining mass spectrometry – a breakthrough platform for real-time noninvasive breath analysis with single ion detection of intact viruses and bacteria and post-analysis molecular characterization
964553_EU-H2020_Part_006","Redefining mass spectrometry – a breakthrough platform for real-time noninvasive breath analysis with single ion detection of intact viruses and bacteria and post-analysis molecular characterization
964553_EU-H2020_Part_006
Funding:      6 170 000.00  SEK
2021-06-01  -  2026-05-31
Total cash funding:    39 820 000 SEK
In-kind:    39 820 000 SEK","Redefining mass spectrometry – a breakthrough platform for real-time noninvasive breath analysis with single ion detection of intact viruses and bacteria and post-analysis molecular characterization
964553_EU-H2020_Part_006
[      6 170 000.00  SEK]",SE,39820000,participant,2021,2026
899871_EU-H2020_Part_013,,"ATRIAL FIBRILLATION INTEGRATED APPROACH IN FRAIL, MULTIMORBID, AND POLYMEDICATED OLDER PEOPLE",5062775,2021-05-01,2026-04-30,Karolinska institutet,European Commission - Horizon 2020,"ATRIAL FIBRILLATION INTEGRATED APPROACH IN FRAIL, MULTIMORBID, AND POLYMEDICATED OLDER PEOPLE
899871_EU-H2020_Part_013","ATRIAL FIBRILLATION INTEGRATED APPROACH IN FRAIL, MULTIMORBID, AND POLYMEDICATED OLDER PEOPLE
899871_EU-H2020_Part_013
Funding:      5 062 775.00  SEK
2021-05-01  -  2026-04-30
Total cash funding:    59 987 533 SEK
In-kind:    59 987 533 SEK","ATRIAL FIBRILLATION INTEGRATED APPROACH IN FRAIL, MULTIMORBID, AND POLYMEDICATED OLDER PEOPLE
899871_EU-H2020_Part_013
[      5 062 775.00  SEK]",SE,59987532.5,participant,2021,2026
965381_EU-H2020_Part_010,,Management of chronic cardiometabolic disease and treatment discontinuity in adult ADHD patients,4000000,2021-04-01,2026-03-31,Karolinska institutet,European Commission - Horizon 2020,"Management of chronic cardiometabolic disease and treatment discontinuity in adult ADHD patients
965381_EU-H2020_Part_010","Management of chronic cardiometabolic disease and treatment discontinuity in adult ADHD patients
965381_EU-H2020_Part_010
Funding:      4 000 000.00  SEK
2021-04-01  -  2026-03-31
Total cash funding:    59 999 860 SEK
In-kind:    59 999 860 SEK","Management of chronic cardiometabolic disease and treatment discontinuity in adult ADHD patients
965381_EU-H2020_Part_010
[      4 000 000.00  SEK]",SE,68114510,participant,2021,2026
964537_EU-H2020_Part_031,,RISK assessment of chemicals integrating HUman centric Next generation Testing strategies promoting the 3Rs,3532000,2021-06-01,2026-05-31,Karolinska institutet,European Commission - Horizon 2020,"RISK assessment of chemicals integrating HUman centric Next generation Testing strategies promoting the 3Rs
964537_EU-H2020_Part_031","RISK assessment of chemicals integrating HUman centric Next generation Testing strategies promoting the 3Rs
964537_EU-H2020_Part_031
Funding:      3 532 000.00  SEK
2021-06-01  -  2026-05-31
Total cash funding:   229 277 688 SEK
In-kind:   229 277 688 SEK","RISK assessment of chemicals integrating HUman centric Next generation Testing strategies promoting the 3Rs
964537_EU-H2020_Part_031
[      3 532 000.00  SEK]",SE,231777687.5,participant,2021,2026
945151_EU-H2020_Part_014,,A New Intervention for Implementation of Pharmacogenetics in Psychiatry,1049850,2021-03-01,2026-02-28,Karolinska institutet,European Commission - Horizon 2020,"A New Intervention for Implementation of Pharmacogenetics in Psychiatry
945151_EU-H2020_Part_014","A New Intervention for Implementation of Pharmacogenetics in Psychiatry
945151_EU-H2020_Part_014
Funding:      1 049 850.00  SEK
2021-03-01  -  2026-02-28
Total cash funding:    79 996 118 SEK
In-kind:    79 996 118 SEK","A New Intervention for Implementation of Pharmacogenetics in Psychiatry
945151_EU-H2020_Part_014
[      1 049 850.00  SEK]",SE,79996117.5,participant,2021,2026
965241_EU-H2020_Part_031,,European consortium for communicating gene- and cell-based therapy information.,0,2021-02-01,2026-01-31,Karolinska institutet,European Commission - Horizon 2020,"European consortium for communicating gene- and cell-based therapy information.
965241_EU-H2020_Part_031","European consortium for communicating gene- and cell-based therapy information.
965241_EU-H2020_Part_031
Funding:              0.00  SEK
2021-02-01  -  2026-01-31
Total cash funding:    19 997 838 SEK
In-kind:    19 997 838 SEK","European consortium for communicating gene- and cell-based therapy information.
965241_EU-H2020_Part_031
[              0.00  SEK]",SE,30494469.9,participant,2021,2026
101021019_EU-H2020_Coor_001,,Tissue-wide identification of genome alterations in cancer,26312500,2021-10-01,2026-09-30,"KTH, Royal Institute of Technology",European Commission - Horizon 2020,"Tissue-wide identification of genome alterations in cancer
101021019_EU-H2020_Coor_001","Tissue-wide identification of genome alterations in cancer
101021019_EU-H2020_Coor_001
Funding:     26 312 500.00  SEK
2021-10-01  -  2026-09-30
Total cash funding:    26 312 500 SEK
In-kind:    26 312 500 SEK","Tissue-wide identification of genome alterations in cancer
101021019_EU-H2020_Coor_001
[     26 312 500.00  SEK]",SE,26312500,coordinating,2021,2026
101001902_EU-H2020_Coor_001,,The localization frontier---from many-body localization to amorphous topological matter via the landscape,18159780,2021-06-01,2026-05-31,"KTH, Royal Institute of Technology",European Commission - Horizon 2020,"The localization frontier---from many-body localization to amorphous topological matter via the landscape
101001902_EU-H2020_Coor_001","The localization frontier---from many-body localization to amorphous topological matter via the landscape
101001902_EU-H2020_Coor_001
Funding:     18 159 780.00  SEK
2021-06-01  -  2026-05-31
Total cash funding:    18 159 780 SEK
In-kind:    18 159 780 SEK","The localization frontier---from many-body localization to amorphous topological matter via the landscape
101001902_EU-H2020_Coor_001
[     18 159 780.00  SEK]",SE,18159780,coordinating,2021,2026
949624_EU-H2020_Coor_001,,In situ DNA sequencing-based microscopy for subcellular spatial transcriptomics,14999470,2021-05-01,2026-04-30,"KTH, Royal Institute of Technology",European Commission - Horizon 2020,"In situ DNA sequencing-based microscopy for subcellular spatial transcriptomics
949624_EU-H2020_Coor_001","In situ DNA sequencing-based microscopy for subcellular spatial transcriptomics
949624_EU-H2020_Coor_001
Funding:     14 999 470.00  SEK
2021-05-01  -  2026-04-30
Total cash funding:    14 999 470 SEK
In-kind:    14 999 470 SEK","In situ DNA sequencing-based microscopy for subcellular spatial transcriptomics
949624_EU-H2020_Coor_001
[     14 999 470.00  SEK]",SE,14999470,coordinating,2021,2026
101007757_EU-H2020_Part_006,,Health Initiatives in Psoriasis and PsOriatic arthritis ConsoRTium European States,5198287.5,2021-07-01,2026-06-30,"KTH, Royal Institute of Technology",European Commission - Horizon 2020,"Health Initiatives in Psoriasis and PsOriatic arthritis ConsoRTium European States
101007757_EU-H2020_Part_006","Health Initiatives in Psoriasis and PsOriatic arthritis ConsoRTium European States
101007757_EU-H2020_Part_006
Funding:      5 198 287.50  SEK
2021-07-01  -  2026-06-30
Total cash funding:   102 109 925 SEK
In-kind:   102 109 925 SEK","Health Initiatives in Psoriasis and PsOriatic arthritis ConsoRTium European States
101007757_EU-H2020_Part_006
[      5 198 287.50  SEK]",SE,229990500,participant,2021,2026
851957_EU-H2020_Part_001,,Conquering a New Paradigm for Addressing Ion Detection in Real Scenarios,3217887.5,2021-01-01,2026-12-31,"KTH, Royal Institute of Technology",European Commission - Horizon 2020,"Conquering a New Paradigm for Addressing Ion Detection in Real Scenarios
851957_EU-H2020_Part_001","Conquering a New Paradigm for Addressing Ion Detection in Real Scenarios
851957_EU-H2020_Part_001
Funding:      3 217 887.50  SEK
2021-01-01  -  2026-12-31
Total cash funding:    16 052 488 SEK
In-kind:    16 052 488 SEK","Conquering a New Paradigm for Addressing Ion Detection in Real Scenarios
851957_EU-H2020_Part_001
[      3 217 887.50  SEK]",SE,16052487.5,participant,2021,2026
101037796_EU-H2020_Part_001,,Systemic Innovations for a SusTainable reduction of the EuRopean food waStage,2593360,2021-11-01,2026-04-30,"KTH, Royal Institute of Technology",European Commission - Horizon 2020,"Systemic Innovations for a SusTainable reduction of the EuRopean food waStage
101037796_EU-H2020_Part_001","Systemic Innovations for a SusTainable reduction of the EuRopean food waStage
101037796_EU-H2020_Part_001
Funding:      2 593 360.00  SEK
2021-11-01  -  2026-04-30
Total cash funding:    83 397 046 SEK
In-kind:    83 397 046 SEK","Systemic Innovations for a SusTainable reduction of the EuRopean food waStage
101037796_EU-H2020_Part_001
[      2 593 360.00  SEK]",SE,101011178,participant,2021,2026
101034126_EU-H2020_Part_001,,Pilot using Independent Local & Open Technologies,2435000,2021-12-01,2026-02-28,"KTH, Royal Institute of Technology",European Commission - Horizon 2020,"Pilot using Independent Local & Open Technologies
101034126_EU-H2020_Part_001","Pilot using Independent Local & Open Technologies
101034126_EU-H2020_Part_001
Funding:      2 435 000.00  SEK
2021-12-01  -  2026-02-28
Total cash funding:   149 999 625 SEK
In-kind:   149 999 625 SEK","Pilot using Independent Local & Open Technologies
101034126_EU-H2020_Part_001
[      2 435 000.00  SEK]",SE,299999250,participant,2021,2026
945377_EU-H2020_Part_001,,Evaluation of a patient-centred biopsychosocial blended collaborative care pathway for the treatment of multi-morbid elderly patients,997500,2021-04-01,2026-09-30,Linköping University,European Commission - Horizon 2020,"Evaluation of a patient-centred biopsychosocial blended collaborative care pathway for the treatment of multi-morbid elderly patients
945377_EU-H2020_Part_001","Evaluation of a patient-centred biopsychosocial blended collaborative care pathway for the treatment of multi-morbid elderly patients
945377_EU-H2020_Part_001
Funding:        997 500.00  SEK
2021-04-01  -  2026-09-30
Total cash funding:    61 012 062 SEK
In-kind:    61 012 062 SEK","Evaluation of a patient-centred biopsychosocial blended collaborative care pathway for the treatment of multi-morbid elderly patients
945377_EU-H2020_Part_001
[        997 500.00  SEK]",SE,61012062,participant,2021,2026
101000395_EU-H2020_Part_001,,Pathways for transitions to sustainability in livestock husbandry and food systems,880000,2021-09-01,2026-08-31,Linnaeus University,European Commission - Horizon 2020,"Pathways for transitions to sustainability in livestock husbandry and food systems
101000395_EU-H2020_Part_001","Pathways for transitions to sustainability in livestock husbandry and food systems
101000395_EU-H2020_Part_001
Funding:        880 000.00  SEK
2021-09-01  -  2026-08-31
Total cash funding:    89 989 063 SEK
In-kind:    89 989 063 SEK","Pathways for transitions to sustainability in livestock husbandry and food systems
101000395_EU-H2020_Part_001
[        880 000.00  SEK]",SE,90269074.9,participant,2021,2026
101022686_EU-H2020_Part_001,,DEmonstration of concentrated SOLar power coupled wIth advaNced desAlinaTion system in the gulf regION.,3541400,2021-06-01,2026-09-30,Luleå University of Technology,European Commission - Horizon 2020,"DEmonstration of concentrated SOLar power coupled wIth advaNced desAlinaTion system in the gulf regION.
101022686_EU-H2020_Part_001","DEmonstration of concentrated SOLar power coupled wIth advaNced desAlinaTion system in the gulf regION.
101022686_EU-H2020_Part_001
Funding:      3 541 400.00  SEK
2021-06-01  -  2026-09-30
Total cash funding:    99 952 148 SEK
In-kind:    99 952 148 SEK","DEmonstration of concentrated SOLar power coupled wIth advaNced desAlinaTion system in the gulf regION.
101022686_EU-H2020_Part_001
[      3 541 400.00  SEK]",SE,138267800.7,participant,2021,2026
101019147_EU-H2020_Coor_001,,Dynamic Properties of Ferroelectric III-V MOSFETs,25000000,2021-09-01,2026-08-31,Lund University,European Commission - Horizon 2020,"Dynamic Properties of Ferroelectric III-V MOSFETs
101019147_EU-H2020_Coor_001","Dynamic Properties of Ferroelectric III-V MOSFETs
101019147_EU-H2020_Coor_001
Funding:     25 000 000.00  SEK
2021-09-01  -  2026-08-31
Total cash funding:    25 000 000 SEK
In-kind:    25 000 000 SEK","Dynamic Properties of Ferroelectric III-V MOSFETs
101019147_EU-H2020_Coor_001
[     25 000 000.00  SEK]",SE,2.5e+07,coordinating,2021,2026
101002516_EU-H2020_Coor_001,,A multimodal approach to tendon mechanobiology,20026220,2021-05-01,2026-04-30,Lund University,European Commission - Horizon 2020,"A multimodal approach to tendon mechanobiology
101002516_EU-H2020_Coor_001","A multimodal approach to tendon mechanobiology
101002516_EU-H2020_Coor_001
Funding:     20 026 220.00  SEK
2021-05-01  -  2026-04-30
Total cash funding:    20 026 220 SEK
In-kind:    20 026 220 SEK","A multimodal approach to tendon mechanobiology
101002516_EU-H2020_Coor_001
[     20 026 220.00  SEK]",SE,20026220,coordinating,2021,2026
948426_EU-H2020_Coor_001,,Probing MHz processes in 3D with X-ray microscopy,19992130,2021-03-01,2026-02-28,Lund University,European Commission - Horizon 2020,"Probing MHz processes in 3D with X-ray microscopy
948426_EU-H2020_Coor_001","Probing MHz processes in 3D with X-ray microscopy
948426_EU-H2020_Coor_001
Funding:     19 992 130.00  SEK
2021-03-01  -  2026-02-28
Total cash funding:    19 992 130 SEK
In-kind:    19 992 130 SEK","Probing MHz processes in 3D with X-ray microscopy
948426_EU-H2020_Coor_001
[     19 992 130.00  SEK]",SE,19992130,coordinating,2021,2026
948588_EU-H2020_Coor_001,,Bioengineering of human ossicles as advanced in vivo hematopoietic model,15000000,2021-05-01,2026-04-30,Lund University,European Commission - Horizon 2020,"Bioengineering of human ossicles as advanced in vivo hematopoietic model
948588_EU-H2020_Coor_001","Bioengineering of human ossicles as advanced in vivo hematopoietic model
948588_EU-H2020_Coor_001
Funding:     15 000 000.00  SEK
2021-05-01  -  2026-04-30
Total cash funding:    15 000 000 SEK
In-kind:    15 000 000 SEK","Bioengineering of human ossicles as advanced in vivo hematopoietic model
948588_EU-H2020_Coor_001
[     15 000 000.00  SEK]",SE,1.5e+07,coordinating,2021,2026
948126_EU-H2020_Part_001,,Unravelling the developmental origins of parallel evolution,12419488.8,2021-03-01,2026-02-28,Lund University,European Commission - Horizon 2020,"Unravelling the developmental origins of parallel evolution
948126_EU-H2020_Part_001","Unravelling the developmental origins of parallel evolution
948126_EU-H2020_Part_001
Funding:     12 419 488.80  SEK
2021-03-01  -  2026-02-28
Total cash funding:    14 981 989 SEK
In-kind:    14 981 989 SEK","Unravelling the developmental origins of parallel evolution
948126_EU-H2020_Part_001
[     12 419 488.80  SEK]",SE,14981988.8,participant,2021,2026
